,filename,Percentile value of 90 %,Percentile value of 75 %
747,n12144580_2285,[1.0],[0.933029294013977]
748,n12144580_22985,[0.768341064453125],[0.5267087817192078]
749,n12144580_2344,[0.8709100484848022],[0.7357140779495239]
750,n12144580_2394,[0.9196756482124329],[0.431331604719162]
751,n12144580_245,[0.9626739025115967],[0.8742730617523193]
752,n12144580_2499,[0.6939953565597534],[0.5282474160194397]
753,n12144580_2514,[0.7637642621994019],[0.7212134599685669]
754,n12144580_2546,[0.8139537572860718],[0.45874959230422974]
755,n12144580_2552,[0.8319119215011597],[0.7054569125175476]
756,n12144580_25593,[0.9251718521118164],[0.7870165705680847]
757,n12144580_2575,[0.9693028926849365],[0.9078202843666077]
758,n12144580_2590,[0.757975697517395],[0.6152845025062561]
759,n12144580_26167,[0.7773913741111755],[0.5183416604995728]
760,n12144580_2638,[0.8056603074073792],[0.7563803195953369]
761,n12144580_26588,[1.0],[0.8371772766113281]
762,n12144580_2710,[0.9060570001602173],[0.8250716328620911]
763,n12144580_27138,[0.6699954271316528],[0.5302465558052063]
764,n12144580_27161,[0.6524022221565247],[0.5213775038719177]
765,n12144580_2750,[0.9816243052482605],[0.9562271237373352]
766,n12144580_27512,[0.8106569051742554],[0.7102844715118408]
767,n12144580_27670,[0.7182955741882324],[0.6030198335647583]
768,n12144580_2775,[0.9156852960586548],[0.7423436641693115]
769,n12144580_2831,[0.5655118227005005],[0.42812901735305786]
770,n12144580_2845,[0.655067503452301],[0.5351826548576355]
771,n12144580_2847,[0.8618510365486145],[0.7103149890899658]
772,n12144580_285,[0.5887770652770996],[0.42333847284317017]
773,n12144580_2880,[0.6897469162940979],[0.4534919559955597]
774,n12144580_2891,[0.7963903546333313],[0.6198002099990845]
775,n12144580_29007,[0.8025795221328735],[0.6834440231323242]
776,n12144580_29148,[0.5930113792419434],[0.4291711449623108]
777,n12144580_29286,[0.5938405990600586],[0.5059239864349365]
778,n12144580_2930,[0.9593427777290344],[0.8694254755973816]
779,n12144580_29305,[0.9646304845809937],[0.6916869282722473]
780,n12144580_2951,[0.7288236618041992],[0.5921101570129395]
781,n12144580_2967,[0.7229729294776917],[0.6624730229377747]
782,n12144580_2971,[0.6455549001693726],[0.4968549311161041]
783,n12144580_29753,[0.3730640411376953],[0.3730640411376953]
784,n12144580_2976,[0.7384195327758789],[0.6271042823791504]
785,n12144580_2979,[0.4906868636608124],[0.4906868636608124]
786,n12144580_29838,[0.8938735723495483],[0.7839373350143433]
787,n12144580_29844,[0.7270910739898682],[0.5611066818237305]
788,n12144580_300,[0.5835195183753967],[0.4210575222969055]
789,n12144580_3008,[0.7490834593772888],[0.616999477148056]
790,n12144580_3010,[0.5769867897033691],[0.4374918043613434]
791,n12144580_3023,[0.8676563501358032],[0.7170969843864441]
792,n12144580_306,[1.0],[0.9174982905387878]
793,n12144580_30601,[0.5180572271347046],[0.4547843933105469]
794,n12144580_30606,[0.6863800287246704],[0.5461423397064209]
795,n12144580_30698,[0.7851781845092773],[0.610747754573822]
796,n12144580_30849,[0.5274041891098022],[0.47947871685028076]
797,n12144580_30869,[0.6417368054389954],[0.4483688473701477]
798,n12144580_3095,[0.8975659608840942],[0.8026298880577087]
799,n12144580_31358,[0.608521580696106],[0.4886482357978821]
800,n12144580_3141,[0.5789629817008972],[0.3704532980918884]
801,n12144580_3149,[0.7730728387832642],[0.6125752925872803]
802,n12144580_3189,[0.6974257826805115],[0.6015120148658752]
803,n12144580_32031,[0.7554277777671814],[0.597603440284729]
804,n12144580_3247,[1.0],[0.9261813163757324]
805,n12144580_3252,[0.5245597958564758],[0.383766233921051]
806,n12144580_32819,[0.7459582686424255],[0.6188321113586426]
807,n12144580_3328,[0.7996388673782349],[0.6000238656997681]
808,n12144580_3335,[0.8594397306442261],[0.7901960015296936]
809,n12144580_33372,[0.7176144123077393],[0.588492751121521]
810,n12144580_3357,[0.9008002877235413],[0.7446751594543457]
811,n12144580_33584,[0.8005241751670837],[0.6777982711791992]
812,n12144580_3386,[0.7315104007720947],[0.5396497249603271]
813,n12144580_3389,[1.0],[0.8397331833839417]
814,n12144580_33991,[0.37963351607322693],[0.3445517420768738]
815,n12144580_34181,[0.6675688624382019],[0.46126633882522583]
816,n12144580_3420,[0.8819500207901001],[0.6817697286605835]
817,n12144580_34769,[0.6875433325767517],[0.5940065383911133]
818,n12144580_348,[0.6147558093070984],[0.5221802592277527]
819,n12144580_3481,[1.0],[0.8686456084251404]
820,n12144580_35335,[0.6126216650009155],[0.30775076150894165]
821,n12144580_35425,[0.8222894668579102],[0.6211438179016113]
822,n12144580_3581,[0.3468187749385834],[0.2613292932510376]
823,n12144580_3586,[0.6033306121826172],[0.37894105911254883]
824,n12144580_3604,[0.8518110513687134],[0.7261124849319458]
825,n12144580_3628,[0.6277207732200623],[0.553987443447113]
826,n12144580_3648,[0.5878556072711945],[0.43903836607933044]
827,n12144580_3664,[0.4882091283798218],[0.4273083806037903]
828,n12144580_3672,[0.758453905582428],[0.6223131418228149]
829,n12144580_37107,[0.79645174741745],[0.690915584564209]
830,n12144580_3725,[1.0],[0.9814633131027222]
831,n12144580_3727,[0.4307812452316284],[0.3684132397174835]
832,n12144580_37488,[0.7417658567428589],[0.5494596362113953]
833,n12144580_375,[0.5837633013725281],[0.37620431184768677]
834,n12144580_3753,[0.8420031070709229],[0.6616554856300354]
835,n12144580_37588,[0.7925790548324585],[0.6060383319854736]
836,n12144580_37617,[0.3904917538166046],[0.3904917538166046]
837,n12144580_3773,[0.9017410278320312],[0.8205385208129883]
838,n12144580_3801,[0.6976152658462524],[0.48788273334503174]
839,n12144580_38051,[0.6795301735401154],[0.4912395477294922]
840,n12144580_3831,[0.815205454826355],[0.6672202348709106]
841,n12144580_38310,[0.9550934433937073],[0.7495858669281006]
842,n12144580_3839,[0.6796063184738159],[0.4619826078414917]
843,n12144580_38441,[0.56407630443573],[0.45609399676322937]
844,n12144580_39003,[0.7670911550521851],[0.688476026058197]
845,n12144580_3915,[0.7704997062683105],[0.626014232635498]
846,n12144580_39293,[0.6431520581245422],[0.47344475984573364]
847,n12144580_3947,[0.4868929386138916],[0.41072630882263184]
848,n12144580_3952,[0.7559309601783752],[0.42956674098968506]
849,n12144580_3953,[0.7665481567382812],[0.5404497981071472]
850,n12144580_39695,[1.0],[0.9616421461105347]
851,n12144580_39862,[0.6364752054214478],[0.4151288866996765]
852,n12144580_39870,[0.6309452056884766],[0.4829217791557312]
853,n12144580_3988,[0.7479366064071655],[0.5448542237281799]
854,n12144580_39891,[0.38366490602493286],[0.28062179684638977]
855,n12144580_39967,[0.6688886880874634],[0.5487143397331238]
856,n12144580_4001,[0.5531337261199951],[0.4257054030895233]
857,n12144580_40013,[0.7567193508148193],[0.6297734379768372]
858,n12144580_4006,[0.7648710012435913],[0.6886304020881653]
859,n12144580_40363,[0.8537865281105042],[0.7833116054534912]
860,n12144580_4068,[0.8328989744186401],[0.746317982673645]
861,n12144580_4069,[0.8721338510513306],[0.7730273455381393]
862,n12144580_4070,[0.7851110696792603],[0.5999581217765808]
863,n12144580_4084,[0.758305549621582],[0.5973300933837891]
864,n12144580_40895,[0.5851695537567139],[0.3979128301143646]
865,n12144580_40933,[0.4296198785305023],[0.4296198785305023]
866,n12144580_4097,[0.7349132001399994],[0.6253523826599121]
867,n12144580_4126,[0.8396059274673462],[0.6274263858795166]
868,n12144580_4134,[0.791954755783081],[0.6683801859617233]
869,n12144580_41460,[0.7037211656570435],[0.5997495055198669]
870,n12144580_41465,[0.5454006195068359],[0.5276259183883667]
871,n12144580_4148,[1.0],[0.7470994591712952]
872,n12144580_4150,[0.709989070892334],[0.5420571565628052]
873,n12144580_41555,[0.7471214532852173],[0.567173957824707]
874,n12144580_41617,[0.5730906128883362],[0.2791508436203003]
875,n12144580_41683,[0.6228447556495667],[0.4318479299545288]
876,n12144580_4202,[0.6015264987945557],[0.40245312452316284]
877,n12144580_4244,[0.740599513053894],[0.5939126014709473]
878,n12144580_42698,[0.6031859517097473],[0.4961439073085785]
879,n12144580_4314,[0.846599280834198],[0.7353498935699463]
880,n12144580_43263,[0.7321425676345825],[0.5231679677963257]
881,n12144580_43715,[0.7167876362800598],[0.49980485439300537]
882,n12144580_43759,[0.7551797032356262],[0.5566978454589844]
883,n12144580_4384,[0.9716589450836182],[0.7148228287696838]
884,n12144580_43883,[0.7729130983352661],[0.6707514524459839]
885,n12144580_4392,[0.8027864694595337],[0.6860063076019287]
886,n12144580_43950,[0.943727970123291],[0.6275625824928284]
887,n12144580_44062,[0.7532464265823364],[0.5718801021575928]
888,n12144580_4422,[0.770535409450531],[0.5826625823974609]
889,n12144580_4448,[0.6639540195465088],[0.36687612533569336]
890,n12144580_44810,[0.7342584133148193],[0.41653215885162354]
891,n12144580_4483,[0.7878422737121582],[0.6749343276023865]
892,n12144580_4491,[0.7643778324127197],[0.569195568561554]
893,n12144580_4492,[0.5879573225975037],[0.4285614490509033]
894,n12144580_4495,[0.704463541507721],[0.551150381565094]
895,n12144580_44983,[0.68620365858078],[0.5055453777313232]
896,n12144580_45042,[0.9037230014801025],[0.8065053224563599]
897,n12144580_45150,[0.8394091725349426],[0.6732186675071716]
898,n12144580_4516,[0.7788801193237305],[0.6714940667152405]
899,n12144580_4520,[0.4021245837211609],[0.2956331968307495]
900,n12144580_45226,[0.8261769413948059],[0.6741939187049866]
901,n12144580_4532,[0.6377346515655518],[0.5144226551055908]
902,n12144580_45362,[0.951184868812561],[0.8795803785324097]
903,n12144580_45415,[0.7851176261901855],[0.6770573854446411]
904,n12144580_45418,[0.421567440032959],[0.322466641664505]
905,n12144580_4542,[0.46608003973960876],[0.3962354362010956]
906,n12144580_45515,[0.6355651617050171],[0.4336988627910614]
907,n12144580_4557,[0.7827735543251038],[0.7474907636642456]
908,n12144580_4562,[0.672921895980835],[0.5291381478309631]
909,n12144580_45628,[0.8113653659820557],[0.6669901609420776]
910,n12144580_45647,[1.0],[0.9537736177444458]
911,n12144580_4567,[0.9712926149368286],[0.7990019917488098]
912,n12144580_45773,[0.5645827651023865],[0.4536798596382141]
913,n12144580_4582,[0.8839662075042725],[0.7437418103218079]
914,n12144580_45992,[0.9497104287147522],[0.7652227878570557]
915,n12144580_460,[0.6534304022789001],[0.4943598210811615]
916,n12144580_46135,[0.63258957862854],[0.5079989433288574]
917,n12144580_4618,[0.7196762561798096],[0.6057674288749695]
918,n12144580_4626,[0.5913931131362915],[0.44353097677230835]
919,n12144580_4642,[0.774696946144104],[0.5062954425811768]
920,n12144580_4647,[0.7481346726417542],[0.6419869810342789]
921,n12144580_4648,[0.7300794720649719],[0.5640245079994202]
922,n12144580_46605,[0.9850185513496399],[0.6680143475532532]
923,n12144580_46649,[0.3098701536655426],[0.2280045449733734]
924,n12144580_4666,[0.7006502151489258],[0.5407209396362305]
925,n12144580_4669,[0.8846343755722046],[0.7232789993286133]
926,n12144580_4691,[0.6515038013458252],[0.5181063413619995]
927,n12144580_4711,[0.7735016345977783],[0.6362147331237793]
928,n12144580_47218,[0.8871213793754578],[0.8685766458511353]
929,n12144580_4733,[0.8400205969810486],[0.6076526641845703]
930,n12144580_47480,[0.6605501174926758],[0.5579097419977188]
931,n12144580_4759,[0.8236362934112549],[0.6396806836128235]
932,n12144580_47769,[0.7057903409004211],[0.4993247389793396]
933,n12144580_4780,[0.7691545486450195],[0.6835630536079407]
934,n12144580_47835,[0.7800085544586182],[0.6570167541503906]
935,n12144580_47888,[0.960708498954773],[0.8940478563308716]
936,n12144580_47922,[0.9268370866775513],[0.8054746985435486]
937,n12144580_48052,[0.6849273443222046],[0.49087968468666077]
938,n12144580_48167,[0.6987311244010925],[0.552821695804596]
939,n12144580_48236,[0.7561225891113281],[0.6652110815048218]
940,n12144580_48293,[0.6742040514945984],[0.6736636161804199]
941,n12144580_4837,[0.755170464515686],[0.6192833185195923]
942,n12144580_4846,[0.6597026586532593],[0.5029932260513306]
943,n12144580_4851,[0.6647673845291138],[0.513477087020874]
944,n12144580_4852,[0.5480434894561768],[0.42363685369491577]
945,n12144580_48583,[0.44556713104248047],[0.3291569948196411]
946,n12144580_48598,[0.7575788497924805],[0.7575788497924805]
947,n12144580_48647,[1.0],[0.7574590444564819]
948,n12144580_48662,[0.6882526278495789],[0.4538901448249817]
